image_url,title,price,reference_number,url
https://www.solanesjoier.com/6596-large_default/anillo-en-oro-blanco-abierto-con-tira-de-brillantes-y-diamantes-marquise.jpg,Anillo en Oro Blanco Abierto con Tira de Brillantes y Diamantes Marquise,"2.435,00 €",006540021,https://www.solanesjoier.com/anillos-lujo/2043-anillo-en-oro-blanco-abierto-con-tira-de-brillantes-y-diamantes-marquise.html
https://www.solanesjoier.com/6600-large_default/anillo-en-oro-blanco-abierto-con-dos-diamantes-esmeralda-y-brillantes.jpg,Anillo en Oro Blanco Abierto con Dos Diamantes Esmeralda y Brillantes,"2.879,00 €",006540022,https://www.solanesjoier.com/anillos-lujo/2045-anillo-en-oro-blanco-abierto-con-dos-diamantes-esmeralda-y-brillantes.html
https://www.solanesjoier.com/4933-large_default/pendientes-en-oro-blanco-con-diamantes-marquise.jpg,Pendientes en Oro Blanco con Diamantes Marquise,"3.139,00 €",002264178,https://www.solanesjoier.com/joyas-lujo/1493-pendientes-en-oro-blanco-con-diamantes-marquise.html
https://www.solanesjoier.com/6598-large_default/anillo-en-oro-blanco-abierto-con-diamantes-pera-y-brillantes.jpg,Anillo en Oro Blanco Abierto con Diamantes Pera y Brillantes,"2.540,00 €",006540020,https://www.solanesjoier.com/anillos-lujo/2044-anillo-en-oro-blanco-abierto-con-diamantes-pera-y-brillantes.html
https://www.solanesjoier.com/4931-large_default/pendientes-en-oro-blanco-gourmet-con-brillantes.jpg,Pendientes en Oro Blanco Gourmet con Brillantes,"1.930,00 €",000081523,https://www.solanesjoier.com/joyas-lujo/1492-pendientes-en-oro-blanco-gourmet-con-brillantes.html
https://www.solanesjoier.com/4923-large_default/pendientes-criollas-en-oro-rosa-con-placa-y-brillantes.jpg,Pendientes Criollas en Oro Rosa con Placa y Brillantes,"1.225,00 €",001830152,https://www.solanesjoier.com/joyas-lujo/1488-pendientes-criollas-en-oro-rosa-con-placa-y-brillantes.html
https://www.solanesjoier.com/4921-large_default/pendientes-en-oro-blanco-con-boton-de-tres-aros-con-brillantes.jpg,Pendientes en Oro Blanco con Botón de Tres Aros con Brillantes,"595,00 €",000201534,https://www.solanesjoier.com/joyas-lujo/1487-pendientes-en-oro-blanco-con-boton-de-tres-aros-con-brillantes.html
https://www.solanesjoier.com/4919-large_default/pendientes-en-oro-blanco-con-roseton-de-brillantes.jpg,Pendientes en Oro Blanco con Rosetón de Brillantes,"1.398,00 €",004780389,https://www.solanesjoier.com/joyas-lujo/1486-pendientes-en-oro-blanco-con-roseton-de-brillantes.html
https://www.solanesjoier.com/4925-large_default/pendientes-largos-en-oro-rosa-articulados-con-brillantes.jpg,Pendientes Largos en Oro Rosa Articulados con Brillantes,"1.998,00 €",000081508,https://www.solanesjoier.com/joyas-lujo/1489-pendientes-largos-en-oro-rosa-articulados-con-brillantes.html
https://www.solanesjoier.com/4905-large_default/pendientes-en-oro-rosa-con-brillantes-negros-y-blancos.jpg,Pendientes Criollas en Oro Rosa con Brillantes Negros y Blancos,"2.729,00 €",002264134,https://www.solanesjoier.com/joyas-lujo/1479-pendientes-en-oro-rosa-con-brillantes-negros-y-blancos.html
https://www.solanesjoier.com/4917-large_default/pendientes-en-oro-blanco-con-roseton-de-brillantes-y-perla.jpg,Pendientes en Oro Blanco con Rosetón de Brillantes y Perla,"498,00 €",004780334,https://www.solanesjoier.com/joyas-lujo/1485-pendientes-en-oro-blanco-con-roseton-de-brillantes-y-perla.html
https://www.solanesjoier.com/4903-large_default/pendientes-en-oro-blanco-con-brillantes-media-luna.jpg,Pendientes en Oro Blanco con Brillantes Media Luna,"2.495,00 €",000081465,https://www.solanesjoier.com/joyas-lujo/1478-pendientes-en-oro-blanco-con-brillantes-media-luna.html
https://www.solanesjoier.com/4899-large_default/pendientes-en-oro-rosa-tubo-de-gas-con-brillantes.jpg,Pendientes en Oro Rosa Tubo de Gas con Brillantes,"1.778,00 €",002720098,https://www.solanesjoier.com/joyas-lujo/1476-pendientes-en-oro-rosa-tubo-de-gas-con-brillantes.html
https://www.solanesjoier.com/4901-large_default/pendientes-en-oro-rosa-doble-criolla-con-brillantes-asimetricos.jpg,Pendientes en Oro Rosa Doble Criolla con Brillantes Asimétricos,"1.398,00 €",002264111,https://www.solanesjoier.com/joyas-lujo/1477-pendientes-en-oro-rosa-doble-criolla-con-brillantes-asimetricos.html
https://www.solanesjoier.com/4895-large_default/pendientes-en-oro-blanco-con-diamantes-marquise-en-definicion.jpg,Pendientes en Oro Blanco con Diamantes Marquise en Definición,"2.969,00 €",002264133,https://www.solanesjoier.com/joyas-lujo/1474-pendientes-en-oro-blanco-con-diamantes-marquise-en-definicion.html
https://www.solanesjoier.com/4893-large_default/pendientes-en-oro-blanco-con-brillantes-en-definicion.jpg,Pendientes en Oro Blanco con Brillantes en Definición,"612,00 €",001120634,https://www.solanesjoier.com/joyas-lujo/1473-pendientes-en-oro-blanco-con-brillantes-en-definicion.html
